Date,Time,Y,Open,High,Close,Low,Volume
2012.12.17,22:00,1702.13,1699.53,1702.54,1699.16,1701.33,2039
2012.12.17,23:00,1702.65,1701.27,1702.26,1700.94,1702,1926
2012.12.18,0:00,1702.7,1702.08,1703,1701.86,1702.3,1747
2012.12.18,1:00,1702.27,1702.29,1702.85,1701.69,1702.55,1755
2012.12.18,2:00,1701.94,1702.56,1702.76,1700.98,1701.77,1855
2012.12.18,3:00,1701.66,1701.68,1702.58,1700.84,1701.29,1986
2012.12.18,4:00,1700.29,1701.34,1702.2,1700.44,1701.11,2700
2012.12.18,5:00,1698.79,1701.09,1701.11,1699.24,1699.47,1903
2012.12.18,6:00,1698.69,1699.42,1699.62,1696.95,1697.95,2417
2012.12.18,7:00,1698.16,1697.92,1698.7,1697.5,1698.67,1877
2012.12.18,8:00,1697.06,1698.66,1699.11,1695.99,1697.2,3333
2012.12.18,9:00,1694.51,1697.15,1698.41,1695.4,1695.71,4006
2012.12.18,10:00,1683.37,1695.76,1695.82,1690.71,1693.2,4966
2012.12.18,11:00,1677.03,1693.21,1693.45,1672.69,1673.28,9412
2012.12.18,12:00,1671.79,1673.29,1678.4,1673.03,1675.66,4689
2012.12.18,13:00,1670.31,1675.67,1675.83,1660.92,1667.74,7463
2012.12.18,14:00,1673.09,1667.73,1670.56,1664.6,1670.06,4003
2012.12.18,15:00,1671.95,1670.11,1673.26,1668.75,1672.91,2283
2012.12.18,16:00,1671.06,1672.86,1672.87,1669.47,1671.02,1877
2012.12.18,17:00,1676.32,1670.98,1671.3,1670.73,1670.81,254
2012.12.18,18:00,1675.89,1671.11,1676.43,1670.89,1676.21,2341
2012.12.18,19:00,1674.98,1676.12,1676.64,1674.85,1675.13,2326
2012.12.18,20:00,1675.72,1675.08,1675.72,1672.64,1674.24,2655
2012.12.18,21:00,1675.18,1674.27,1675.76,1673.8,1675.67,1758
2012.12.18,22:00,1673.35,1675.63,1675.72,1674.43,1674.64,1344
2012.12.18,23:00,1675,1674.62,1674.73,1671.2,1671.96,2295
2012.12.19,0:00,1676.14,1672,1675.36,1671.66,1674.64,1942
2012.12.19,1:00,1675.69,1674.68,1676.22,1674.48,1676.05,1904
2012.12.19,2:00,1675.1,1676.07,1676.18,1674,1675.19,2034
2012.12.19,3:00,1675.99,1675.25,1675.56,1671.95,1674.64,3171
2012.12.19,4:00,1674.68,1674.65,1676.59,1673.4,1675.39,2798
2012.12.19,5:00,1670.62,1675.4,1676.47,1672.7,1672.88,2636
2012.12.19,6:00,1673.8,1672.91,1673.89,1666.34,1667.34,3533
2012.12.19,7:00,1669.74,1667.37,1674.16,1667.27,1673.44,4759
2012.12.19,8:00,1668.35,1673.43,1673.71,1665.02,1665.77,5975
2012.12.19,9:00,1672.27,1665.74,1669.77,1664.2,1666.93,5523
2012.12.19,10:00,1672.71,1666.92,1674.5,1664.51,1670.03,6455
2012.12.19,11:00,1670.16,1670.23,1674.36,1670.23,1671.06,4156
2012.12.19,12:00,1668.55,1671.03,1671.79,1668.38,1668.53,3823
2012.12.19,13:00,1669.5,1668.57,1669.21,1663.23,1667.89,3697
2012.12.19,14:00,1669.56,1667.78,1669.85,1667.27,1669.14,3322
2012.12.19,15:00,1668.3,1669.19,1669.99,1668.19,1669.13,1898
2012.12.19,16:00,1666.4,1669.15,1669.54,1666.56,1667.06,1279
